"Provincia","Modalidad","Tipo recurso","Categoría","exp_fecapertura","Nombre establecimiento","Municipio","Dirección","C. Postal","Web","Nº Plazas"
"Badajoz","Café - Bar","I","--","2010-06-09","ALVAREZ","ALMENDRALEJO","CALLE ADELARDO COVARSI, 37",6200,"NO",0
"Badajoz","Café - Bar","I","--","2010-02-23","ANDANA","ALMENDRALEJO","SAN BLAS, 2",6200,"NO",0
"Badajoz","Café - Bar","I","--","2019-02-05","ANTOLIN ROMERO DE TEJADA","ALMENDRALEJO","C/ PILAR, 4",6200,"NO",0
"Badajoz","Café - Bar","I","--","2009-07-14","ARTE LATTE","ALMENDRALEJO","CANTONES, 7",6200,"NO",0
"Badajoz","Café - Bar","I","--","2006-10-17","ASIA KEBAB","ALMENDRALEJO","MECÁNICA /POLIGONO INDUSTRIAL",6200,"NO",0
"Badajoz","Café - Bar","I","--","1999-03-14","AVENIDA","ALMENDRALEJO","CALLE LUNA, 9",6200,"NO",0
"Badajoz","Café - Bar","I","--","2006-09-28","BABELIA","ALMENDRALEJO","EL PILAR, 5",6200,"NO",0
"Badajoz","Café - Bar","I","--","1982-07-07","BAR  AMERICA","ALMENDRALEJO","AVENIDA AMERICA, 1",6200,"NO",0
"Badajoz","Café - Bar","I","--","1992-05-26","BAR AVENIDA","ALMENDRALEJO","AVENIDA LA PAZ, 34",6200,"NO",0
"Badajoz","Café - Bar","I","--","1986-07-05","BAR CALINO","ALMENDRALEJO","PLAZA MERCADO",6200,"NO",0
"Badajoz","Café - Bar","I","--","2018-05-28","BAR CANTINA ALMENDRALEJO","ALMENDRALEJO","PLAZA MATIAS PÉREZ FERNÁNDEZ S/N",6200,"NO",0
"Badajoz","Café - Bar","I","--","1977-03-12","BAR EL DANUBIO","ALMENDRALEJO","CARRETERA DE SEVILLA 253 (ES AHORA AVENIDA JUAN CARLOS RODRIGUEZ IBARRA, 253)",6200,"NO",0
"Badajoz","Café - Bar","I","--","1993-08-28","BAR EL PILA VIEJO","ALMENDRALEJO","CALLE ACEUCHAL, 1",6200,"NO",0
"Badajoz","Café - Bar","I","--","1978-11-18","BAR ESTACION","ALMENDRALEJO","CALLE ESTACION, 23",6200,"NO",0
"Badajoz","Café - Bar","I","--","2010-06-09","BAR ESTACIÓN","ALMENDRALEJO","CALLE LUIS MESIAS, 24",6200,"NO",0
"Badajoz","Café - Bar","I","--","1994-06-08","BAR ESTADIO","ALMENDRALEJO","CALLE PILAR, 84",6200,"NO",0
"Badajoz","Café - Bar","I","--","1992-06-14","BAR  HINO","ALMENDRALEJO","AVENIDA LA PAZ, 13",6200,"NO",0
"Badajoz","Café - Bar","I","--","1997-03-24","BAR LA CAZUELITA","ALMENDRALEJO","CALLE ARTURO SUAREZ BARCENA, 68",6200,"NO",0
"Badajoz","Café - Bar","I","--","1983-12-21","BAR  LAS 300","ALMENDRALEJO","CALLE GOYA, 4",6200,"NO",0
